iso3,name,gdp_usd_current,model_region
USA,United States,27292170793214.4,North America
CHN,China,18270356654533.2,East Asia
DEU,Germany,4562207532490.28,Europe
JPN,Japan,4213167237905.83,East Asia
IND,India,3638489096033.86,South Asia
GBR,United Kingdom,3420796653789.08,Europe
FRA,France,3056250648138.29,Europe
ITA,Italy,2316727999333.18,Europe
BRA,Brazil,2191131869706.02,South America
CAN,Canada,2173339670064.33,North America
RUS,Russia,2071505725030.58,Europe
KOR,"Korea, Rep.",1844800934391.54,East Asia
MEX,Mexico,1798317581486.88,North America
AUS,Australia,1734451264655.6,Oceania
ESP,Spain,1619481980719.64,Europe
IDN,Indonesia,1371169301563.62,East Asia
SAU,Saudi Arabia,1218584533333.33,Middle East
TUR,Turkiye,1141242864657.45,Europe
NLD,Netherlands,1135475867551.0,Europe
CHE,Switzerland,894424821645.205,Europe
POL,Poland,812451193396.143,Europe
TWN,Taiwan,756000000000.0,East Asia
BEL,Belgium,651330595110.011,Europe
ARG,Argentina,649461687959.174,South America
SWE,Sweden,578990915246.07,Europe
IRL,Ireland,567372737459.116,Europe
ARE,United Arab Emirates,522622191967.325,Middle East
AUT,Austria,516670509628.876,Europe
THA,Thailand,515906283940.933,East Asia
ISR,Israel,512184638998.974,Middle East
SGP,Singapore,505439514078.019,East Asia
NGA,Nigeria,487387801880.597,Global South
NOR,Norway,482949731776.587,Europe
IRN,Iran,457510482317.483,Middle East
BGD,Bangladesh,437415333018.291,South Asia
PHL,Philippines,437055627244.424,East Asia
VNM,Viet Nam,433857681378.291,East Asia
DNK,Denmark,404651706117.557,Europe
MYS,Malaysia,399949418752.657,East Asia
EGY,"Egypt, Arab Rep.",395926075163.006,Middle East
ZAF,South Africa,381440724491.232,Global South
HKG,Hong Kong SAR,381043026173.935,East Asia
COL,Colombia,366291836137.916,South America
ROU,Romania,347757995758.914,Europe
CZE,Czechia,345059295659.911,Europe
PAK,Pakistan,336686348609.266,South Asia
CHL,Chile,335518054097.637,South America
FIN,Finland,295021982462.75,Europe
PRT,Portugal,292323800948.839,Europe
IRQ,Iraq,268881051643.549,Middle East
