iso3,name,wb_region,income_level,model_region,alliance_block,regime_type,gdp_usd_current,population,fx_reserves_usd,public_debt_pct_gdp,co2_mtco2e,inequality_gini,water_stress_pct,military_gdp_ratio,military_spending_usd,wgi_pv,wgi_ge,wgi_rl,wgi_va,rd_pct_gdp,high_tech_exports_pct,manufacturing_share_pct,energy_use_kg_oe_pc,energy_imports_net_pct,agri_share_pct,food_production_index,arable_land_pct,coal_rents_pct,gas_rents_pct,oil_rents_pct,mineral_rents_pct,climate_vulnerability,habitat_vulnerability,ecosystem_vulnerability,ndgain_governance_readiness,pdi,idv,mas,uai,lto,ind,energy_production_raw,energy_consumption_raw,energy_reserve_raw,food_production_raw,food_consumption_raw,food_reserve_raw,metals_production_raw,metals_consumption_raw,metals_reserve_raw,src_gdp_usd_current,src_population,src_fx_reserves_usd,src_public_debt_pct_gdp,src_co2_mtco2e,src_inequality_gini,src_water_stress_pct,src_military_gdp_ratio,src_military_spending_usd,src_wgi_pv,src_wgi_ge,src_wgi_rl,src_wgi_va,src_rd_pct_gdp,src_high_tech_exports_pct,src_manufacturing_share_pct,src_energy_use_kg_oe_pc,src_energy_imports_net_pct,src_agri_share_pct,src_food_production_index,src_arable_land_pct,src_coal_rents_pct,src_gas_rents_pct,src_oil_rents_pct,src_mineral_rents_pct,src_climate_vulnerability,src_habitat_vulnerability,src_ecosystem_vulnerability,src_ndgain_governance_readiness,src_pdi,src_idv,src_mas,src_uai,src_lto,src_ind,src_energy_production_raw,src_energy_consumption_raw,src_energy_reserve_raw,src_food_production_raw,src_food_consumption_raw,src_food_reserve_raw,src_metals_production_raw,src_metals_consumption_raw,src_metals_reserve_raw,gdp_per_capita,fx_to_gdp,water_stress,climate_risk,biodiversity_local,regime_stability,trust_gov,social_tension,security_index,tech_level,military_power,debt_crisis_prone,conflict_proneness,traditional_secular,survival_self_expression,energy_production_raw,energy_consumption_raw,energy_reserve_raw,food_production_raw,food_consumption_raw,food_reserve_raw,metals_production_raw,metals_consumption_raw,metals_reserve_raw,energy_reserve,energy_production,energy_consumption,food_reserve,food_production,food_consumption,metals_reserve,metals_production,metals_consumption
ABW,Aruba,Latin America & Caribbean ,High income,Global South,NonAligned,Democracy,3834729616.12027,107359.0,1261911730.0,56.36707623161835,0.5371,39.2,7.860133843,1.32324399735374,339405131.876536,1.43252456188202,0.795440852642059,1.27020680904388,1.0191752910614,0.21928999999999998,6.86800836378335,2.63057225622421,730.5723929666075,13.31725266599755,0.0342144315332219,111.76,11.1111111111111,0.0,0.0,0.0,0.0,0.464307310656572,0.5567953882716915,0.490240220108157,0.406934936400206,75.5,33.0,44.5,81.0,24.0,46.0,0.06798833129864644,0.07843352153650202,0.023795915954526254,66.96439700222244,66.16544790617968,5.899163375646665,0.0,5.296148673811892e-06,0.0,direct_2023,direct_2023,direct_2023,region_median_imputed,direct_2023,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_2023,direct_2023,direct_2023,direct_2023,region_median_imputed,direct_2023,latest_2022,region_median_imputed,region_median_imputed,latest_2022,region_median_imputed,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,derived_wb_energy_balance,region_median_imputed,derived_wmd_wb_reserve_proxy,region_per_capita_imputed,region_per_capita_imputed,derived_faostat_buffer,zero_imputed_no_wmd_production,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy,35718.753119163455,0.3290744997235868,0.07860133843,0.464307310656572,0.4764821958100758,0.7529056763648986,0.6804802302837369,0.3051169997761145,0.5961250415043621,1.4106676884263363,0.9244203372117651,0.5007969915764781,0.2916580758157533,6.133426146213203,6.117284151642571,0.06798833129864644,0.07843352153650202,0.023795915954526254,66.96439700222244,66.16544790617968,5.899163375646665,0.0,5.296148673811892e-06,0.0,0.023777238798325266,0.06793496799521505,0.07837195991660344,0.0006638340655986033,0.007535517340621423,0.0074456114348413075,0.0,0.0,0.008738645311789618
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,South Asia,NonAligned,Autocracy,17152234636.8715,41454761.0,8419488003.81955,60.01757891418865,11.6486,29.6,54.75701944,1.827933856217,278250788.014927,-2.48408055305481,-1.98701369762421,-1.64964091777802,-1.85290133953094,0.16375,0.0,7.5409168634476,473.920825625094,39.7925509388676,34.7432471445174,111.43,12.0294987964368,0.0193977562950517,0.00195353922210792,0.0178695056581909,0.0,0.58751617832868,0.533117805902342,0.509271539279062,0.185213898075121,66.0,31.0,53.0,55.0,50.5,13.0,11.828520747647143,19.646274559210944,4.406094052899114,14405.0,16770.0,1592.3615230460923,3.474046669999e-05,6.271806504726923e-05,9.00775182378831e-06,direct_2023,direct_2023,latest_2020,region_median_imputed,direct_2023,region_median_imputed,latest_2022,latest_2021,latest_2021,direct_2023,direct_2023,direct_2023,direct_2023,region_median_imputed,latest_2019,direct_2023,region_median_imputed,region_median_imputed,direct_2023,latest_2022,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_wmd_2023_plus_wb_balance,region_median_imputed,derived_wmd_wb_reserve_proxy,direct_faostat_fbs_2023,direct_faostat_fbs_2023,derived_faostat_buffer,direct_wmd_2023,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy,413.757894705303,0.4908682852157642,0.5475701944,0.58751617832868,0.47880532740929804,0.0647885453701015,0.1914150968551634,0.6381735812880456,0.15234280402132555,0.6738268175494909,0.7587038776050118,0.6420591641117516,0.6640110853254044,1.7405938124656684,2.823901902987771,11.828520747647143,19.646274559210944,4.406094052899114,14405.0,16770.0,1592.3615230460923,3.474046669999e-05,6.271806504726923e-05,9.00775182378831e-06,4.402635757491637,11.819236670074647,19.630854411509503,0.17918876905669637,1.6209976069529757,1.8871315424228672,0.0031527131383259086,0.012159163344996499,0.10348480732799419
AGO,Angola,Sub-Saharan Africa ,Lower middle income,Global South,NonAligned,Hybrid,107167747140.127,36749906.0,13942114198.8828,56.36707623161835,27.336,51.3,1.871883289,1.40725542077164,1247846345.08517,-0.34150505065918,-1.00890958309174,-1.09906601905823,-0.737252414226532,0.03229,23.4714139423334,7.32294984138305,423.122517600564,-353.971819384273,20.6897623256468,124.09,4.31940322451271,0.0,1.01234906054638,28.2744398825844,0.0,0.506373424333808,0.684022945832105,0.545213972968716,0.360742582770205,75.5,33.0,44.5,81.0,24.0,46.0,61.2401652,15.54971274830407,1531.00413,28616.0,22649.0,3900.37,1.0092685467417239e-05,0.0004906661782995412,2.550401756759164e-06,direct_2023,direct_2023,direct_2023,region_median_imputed,direct_2023,latest_2018,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2016,direct_2023,direct_2023,latest_2022,latest_2022,direct_2023,latest_2022,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_wmd_2023_plus_wb_balance,latest_2022,derived_wmd_wb_reserve_proxy,direct_faostat_fbs_2023,direct_faostat_fbs_2023,derived_faostat_buffer,direct_wmd_2023,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy,2916.1366328427343,0.13009617698366666,0.01871883289,0.506373424333808,0.3853815405995895,0.3671247601509091,0.35281293599605523,0.5031419257456251,0.2396440153363887,1.03858169084568,1.000622816445905,0.6033660865254025,0.4885303563076572,3.213750943435744,4.280922754234651,61.2401652,15.54971274830407,1531.00413,28616.0,22649.0,3900.37,1.0092685467417239e-05,0.0004906661782995412,2.550401756759164e-06,1529.8024614727194,61.192098458908774,15.537507947512388,0.43890943673940835,3.220164354083051,2.5486966192209612,0.0008926406148657074,0.0035324399135960335,0.8095991941942426
ALB,Albania,Europe & Central Asia,Upper middle income,Europe,Western,Hybrid,23491242727.4082,2414095.0,6228581543.45668,81.9202285649265,4.2226,29.4,4.789663462,1.7407334644623,397617613.069546,0.183348968625069,0.250855356454849,-0.164097368717194,0.168997228145599,1.39898,0.682326849473647,7.20306114627036,888.463855695385,22.7015590200443,16.2742388313006,105.4,21.5583941605839,0.0322572749578343,0.049458339903858,1.04218369204761,0.180213705970408,0.380184451027829,0.511345785513779,0.416567741831605,0.4914194968616,48.0,61.5,48.5,74.5,61.0,15.0,1.6579249068501338,2.14483615171495,1.6491057985489836,4123.0,3409.0,569.1627791262135,0.0013732019579022687,8.252099885835497e-05,0.0012039344639945908,direct_2023,direct_2023,direct_2023,latest_2021,direct_2023,latest_2020,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,region_median_imputed,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_hofstede,direct_hofstede,direct_wmd_2023_plus_wb_balance,direct_2023,derived_wmd_wb_reserve_proxy,direct_faostat_fbs_2023,direct_faostat_fbs_2023,derived_faostat_buffer,direct_wmd_2023,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy,9730.869219068925,0.2651448293192909,0.04789663462,0.380184451027829,0.536043236327308,0.5219977323710918,0.5641452689111233,0.34295243632122596,0.42347341088280516,1.2541090661993561,0.9031565960074553,0.7252589727457186,0.3846375734769004,5.186646057848685,5.317773908234391,1.6579249068501338,2.14483615171495,1.6491057985489836,4123.0,3409.0,569.1627791262135,0.0013732019579022687,8.252099885835497e-05,0.0012039344639945908,1.6478114333036904,1.6566236195824395,2.1431526930950904,0.06404800436864264,0.4639620363392654,0.3836154697745709,0.4213770623981068,0.48062068526579405,0.13615964811628564
AND,Andorra,Europe & Central Asia,High income,Europe,Western,Democracy,3785065524.84754,80856.0,13678494896.6915,49.5131518533858,36.9706,30.95,8.392463680999999,1.6999298714670399,4355478069.88993,1.58346593379974,1.4754387140274,1.47689890861511,0.996939778327942,1.39898,21.4346319155008,3.39743699615492,2482.85667093368,54.514950869779554,0.47849213558896,100.68,1.55851063829787,0.0,0.0,0.0,0.0,0.334702001024289,0.456114812577498,0.359757630965032,0.6440865412532165,48.0,61.5,48.5,74.5,61.0,65.0,0.09131299139014692,0.20075385898501363,0.03195954698655142,129.02035241468172,73.45086701754502,25.562193178084133,0.0,7.88201268825118e-06,0.0,direct_2023,direct_2023,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_2023,direct_2023,direct_2023,direct_2023,region_median_imputed,direct_2023,direct_2023,region_median_imputed,region_median_imputed,direct_2023,region_median_imputed,direct_2023,zero_imputed,zero_imputed,zero_imputed,latest_2021,region_median_imputed,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_hofstede,derived_wb_energy_balance,region_median_imputed,derived_wmd_wb_reserve_proxy,region_per_capita_imputed,region_per_capita_imputed,derived_faostat_buffer,zero_imputed_no_wmd_production,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy,46812.42610131023,3.6138066321170124,0.08392463681,0.334702001024289,0.592063778228735,0.807043746709823,0.7597798311233515,0.23645439272428243,0.8362016117572779,1.662843587078315,1.3127552238522524,0.1835289697604763,0.24724194202448554,6.978961262661023,7.1524447628924746,0.09131299139014692,0.20075385898501363,0.03195954698655142,129.02035241468172,73.45086701754502,25.562193178084133,0.0,7.88201268825118e-06,0.0,0.031934462284944586,0.09124132081412739,0.200596289459664,0.0028765188455497437,0.01451868674157783,0.008265441142940765,0.0,0.0,0.01300532093561444
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Middle East,MENA,Autocracy,522622191967.325,10483751.0,184551182266.885,102.847276118182,192.6964,26.4,1509.933333,5.64365135247024,22755071477.1954,0.677530944347382,1.60428190231323,0.881900131702423,-1.0949410200119,1.49469,8.96029397394575,9.45861316188462,8335.80957162683,-171.482371329992,0.764068711477443,124.86,0.709433962264151,0.0,1.96089498612487,15.6730945329946,0.0,0.382862724694561,0.333828578139929,0.470773653977667,0.687971002823107,13.0,54.0,47.0,81.0,25.0,30.0,237.2499427043183,87.39055193235235,4110.198529851254,2168.0,6713.0,537.04,0.0037645097615507154,0.0026577383513224457,0.004729539734556695,direct_2023,direct_2023,direct_2023,region_median_imputed,direct_2023,latest_2018,latest_2022,latest_2014,latest_2014,direct_2023,direct_2023,direct_2023,direct_2023,latest_2021,direct_2023,direct_2023,latest_2022,latest_2022,direct_2023,latest_2022,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_wmd_2023_plus_wb_balance,latest_2022,derived_wmd_wb_reserve_proxy,direct_faostat_fbs_2023,direct_faostat_fbs_2023,derived_faostat_buffer,direct_wmd_2023,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy,49850.687217516424,0.3531254223479729,1.0,0.382862724694561,0.597698883941202,0.6827946865558624,0.6563513301849364,0.422144103921349,0.6198441215897598,1.6127472122594508,1.4872130489391415,0.8211809978269041,0.49313043062469764,7.028207207091412,5.849612547003333,237.2499427043183,87.39055193235235,4110.198529851254,2168.0,6713.0,537.04,0.0037645097615507154,0.0026577383513224457,0.004729539734556695,4106.972479628778,237.0637277989105,87.32196003649719,0.06043322143964082,0.24396548503117327,0.7554152679955103,1.6553389070948432,1.3175784165427504,4.385268279682034
ARG,Argentina,Latin America & Caribbean ,Upper middle income,South America,Latin,Democracy,649461687959.174,45538401.0,18986771972.2626,71.3312731846403,189.8908,42.4,10.45666408,0.75569413987974,4882352998.99977,-0.127517908811569,-0.377517342567444,-0.410826534032822,0.533921837806702,0.54947,5.44959440578319,16.5255500222842,1832.06690004241,0.41571453028353,5.8467786039069,109.39,14.7577340144481,0.000157746419195732,0.389397123451652,1.54438228879011,0.580266654524776,0.383358084544623,0.566907156222306,0.448609316287458,0.431870711100025,49.0,46.0,56.0,86.0,20.0,62.0,83.08256902646539,83.42939715295819,121.24463535102237,140242.0,33850.0,39945.200000000004,0.004952399374713588,0.005543002863473414,0.011934901402033442,direct_2023,direct_2023,direct_2023,region_median_imputed,direct_2023,direct_2023,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,direct_hofstede,direct_hofstede,direct_hofstede,direct_hofstede,direct_hofstede,direct_hofstede,direct_wmd_2023_plus_wb_balance,direct_2023,derived_wmd_wb_reserve_proxy,direct_faostat_fbs_2023,direct_faostat_fbs_2023,derived_faostat_buffer,direct_wmd_2023,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy,14261.84656679478,0.029234629731470986,0.1045666408,0.383358084544623,0.49224176374511797,0.45033100962638856,0.4943151496887207,0.41946085073945183,0.33719520393078173,1.2493451436537935,1.2111912641335998,0.6992280027512169,0.3834090518368125,5.4807089706886885,5.442114897704151,83.08256902646539,83.42939715295819,121.24463535102237,140242.0,33850.0,39945.200000000004,0.004952399374713588,0.005543002863473414,0.011934901402033442,121.14947175247417,83.0173584196431,83.36391432450317,4.495041555658314,15.781461047851385,3.8091474484802657,4.1772154907117045,1.7333397811497557,9.14595472473113
ARM,Armenia,Europe & Central Asia,Upper middle income,Global South,NonAligned,Hybrid,24185982215.6543,2964300.0,3607482711.24985,48.0562986773694,7.4987,27.2,61.97296752,5.50629814850566,1326245679.38669,-0.829278230667114,-0.184129968285561,-0.122017979621887,0.0767075568437576,0.18115,20.9051560207484,10.2392239746218,1347.59055747413,76.8721086405015,8.10223799188799,83.87,15.6598854445336,2.759777831075e-06,0.0,0.0,6.78656847475307,0.357311529443697,0.403333990949936,0.378819589473934,0.466234122812117,75.5,33.0,44.5,81.0,61.0,46.0,0.9238812470107373,3.9946626895205637,0.3233598989928899,2781.0,2788.0,269.8852138492872,0.0004760220850183894,0.00015099862133879366,0.004834011857597561,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,latest_2022,direct_2023,latest_2022,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_hofstede,region_median_imputed,derived_wb_energy_balance,latest_2022,derived_wmd_wb_reserve_proxy,direct_faostat_fbs_2023,direct_faostat_fbs_2023,derived_faostat_buffer,direct_wmd_2023,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy,8159.0872096799585,0.14915593169149516,0.6197296752,0.357311529443697,0.608923209788065,0.39531329691410066,0.5013242896616459,0.4619301083056785,0.3869357482085137,1.2230902884758417,1.0489776163274702,0.5399666271021588,0.5985851790452238,4.425716231816525,5.064691340002551,0.9238812470107373,3.9946626895205637,0.3233598989928899,2781.0,2788.0,269.8852138492872,0.0004760220850183894,0.00015099862133879366,0.004834011857597561,0.3231060973172508,0.9231561026458572,3.991527322125376,0.030370238514521804,0.312946500863327,0.31373421230023574,1.6919041501591463,0.16660772975643628,0.24914772520900944
ASM,American Samoa,East Asia & Pacific,High income,East Asia,NonAligned,Democracy,871000000.0,47521.0,102040328419.6615,55.73318954187255,0.0001,34.75,25.37720149,1.604873274774315,5142604807.85825,1.11422121524811,0.654167771339417,1.21249115467072,0.952084183692932,0.42494,17.1028060703212,16.9755594437794,1708.834224558845,28.98047680538825,8.16404265399846,103.505,5.15,0.0,0.0,0.0,0.0,0.43267145527006745,0.5223375703732085,0.4727751133763415,0.464177615655008,60.0,20.0,39.0,85.0,75.0,35.0,0.05767176685151939,0.08120551118526087,0.020185118398031787,36.74840663057701,34.84176106029362,3.484267621730232,0.0,8.676085796655973e-06,0.0,latest_2022,direct_2023,region_median_imputed,region_median_imputed,direct_2023,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_2023,direct_2023,direct_2023,latest_2022,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,derived_wb_energy_balance,region_median_imputed,derived_wmd_wb_reserve_proxy,region_per_capita_imputed,region_per_capita_imputed,derived_faostat_buffer,zero_imputed_no_wmd_production,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy,18328.738873340208,117.1530751086814,0.2537720149,0.43267145527006745,0.502443658125225,0.7093556022644047,0.6634920856952669,0.3295823774290026,0.7549159479141239,1.3771779688836567,1.2932891776158928,0.24447537397655322,0.31986255296250266,5.436992869636207,5.712878051047332,0.05767176685151939,0.08120551118526087,0.020185118398031787,36.74840663057701,34.84176106029362,3.484267621730232,0.0,8.676085796655973e-06,0.0,0.02016927531764875,0.05762650090756786,0.08114177386076844,0.00039208535069826044,0.0041353057415827975,0.003920750524176559,0.0,0.0,0.014315541564482349
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,Global South,NonAligned,Hybrid,2005785185.18518,93316.0,364367020.196401,56.36707623161835,0.3441,39.2,8.461538462,1.32324399735374,339405131.876536,0.923393249511719,0.380410820245743,0.378593176603317,0.741840481758118,0.21928999999999998,0.0,2.61299721915496,730.5723929666075,13.31725266599755,1.94326780682544,89.95,9.09090909090909,0.0,0.0,0.0,0.0,0.467682283209992,0.388430621169776,0.518990536827884,0.606309578738308,75.5,33.0,44.5,81.0,24.0,46.0,0.05909517714830142,0.06817409342207195,0.020683312001905495,16.0,75.0,7.6383495145631075,0.0,2.5413890602745704e-06,0.0,direct_2023,direct_2023,direct_2023,region_median_imputed,direct_2023,region_median_imputed,latest_2022,region_median_imputed,region_median_imputed,direct_2023,direct_2023,direct_2023,direct_2023,region_median_imputed,direct_2023,direct_2023,region_median_imputed,region_median_imputed,direct_2023,latest_2022,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,derived_wb_energy_balance,region_median_imputed,derived_wmd_wb_reserve_proxy,direct_faostat_fbs_2023,direct_faostat_fbs_2023,derived_faostat_buffer,zero_imputed_no_wmd_production,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy,21494.547400072657,0.1816580473759764,0.08461538462,0.467682283209992,0.54628942100117,0.6357193490862847,0.6094230408787727,0.348804569343486,0.4742759889735949,1.2783003153553283,0.8929062420250493,0.5430618420472626,0.344270177265795,5.552594391304827,5.718310635050377,0.05909517714830142,0.06817409342207195,0.020683312001905495,16.0,75.0,7.6383495145631075,0.0,2.5413890602745704e-06,0.0,0.020667077894769143,0.0590487939850547,0.06812058431596575,0.0008595450388182728,0.0018004832843629024,0.008439765395451106,0.0,0.0,0.00419329194945304
